name of company,college name,region,year,Salary
IBM,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2017,429640
TECH MAHINDRA,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,29854
ACCENTURE,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,299512
EDELWEISS FINANCIAL SERVICES,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2017,935975
INFOGAIN,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,225812
CAPGEMINI,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,789173
ECLERX,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,403254
CREDIT SUISSE,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2016,945085
YAHOO,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2016,385137
SELEC,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,42266
GOOGLE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,53502
NEOSOFT TECHNOLOGIES,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,459213
ACCENTURE,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,299512
TATA CONSULTANCY SERVICES,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,363632
SABA SOFTWARE,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,709027
NSEIT,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2017,49297
TECH MAHINDRA,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2016,480101
UBS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2016,1801956
ACCOLITE,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,1113273
HEXAWARE TECHNOLOGIES,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2015,760901
GODREJ INFOTECH,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2017,387624
SYNTROSYS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,957887
GEOMETRIC,MIT COLLEGE OF ENGINEERING,PUNE,2018,453633
TATA COMMUNICATIONS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,374390
SABA SOFTWARE,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2015,727755
SIEMENS,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2017,470735
DIRECTI,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,1613989
TATA CONSULTANCY SERVICES,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2016,728580
MASTEK,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017,304434
NUCSOFT,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,231877
DELOITTE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,727874
MIRRAW,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,30345
VPHRASE,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2014,419590
MICROSOFT,MIT COLLEGE OF ENGINEERING,PUNE,2016,428967
GOOGLE,MIT COLLEGE OF ENGINEERING,PUNE,2015,52977
INFIBEAM,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,184354
INGRAM MICRO,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,358104
CYBAGE SOFTWARE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,579940
ORANGE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2015,20399
INFIBEAM,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2014,180514
LARSEN & TOUBRO,MIT COLLEGE OF ENGINEERING,PUNE,2015,1806418
LIONBRIDGE,COLLEGE OF ENGINEERING PUNE,PUNE,2017,43196
CMC,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2017,418994
VPHRASE,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,409027
IBM,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,374779
KPIT TECHNOLOGIES,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,797402
BOOKMYSHOW,COLLEGE OF ENGINEERING PUNE,PUNE,2017,371565
SELEC,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,40593
NEWGEN SOFTWARE,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2016,708060
DIRECTI,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015,25842
ZYCUS,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2014,17017
VISA INC.,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,1176245
SCHNEIDER ELECTRIC,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,107947
QAD,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,886642
SIEMENS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2018,485566
CYBAGE SOFTWARE,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2017,348133
SIEMENS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2015,489081
NEOSOFT,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2017,376164
TATA,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,95866
INDUS VALLEY PARTNERS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,784110
ECLINICALWORKS,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2014,606902
CMS IT SERVICES,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,443711
BHARAT PETROLEUM,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2016,382233
NEOSOFT TECHNOLOGIES,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2014,470398
LARSEN & TOUBRO,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2017,1786864
AMDOCS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,771234
LTI,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,1273803
NETWORK 18,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2014,422207
OSP LABS,MIT COLLEGE OF ENGINEERING,PUNE,2016,867785
ATIDAN,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2017,917561
TATA COMMUNICATIONS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017,367076
TCS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,364009
NSEIT,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016,59323
HDFC,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,535465
IDBI INTECH,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2014,548577
GEP,MIT COLLEGE OF ENGINEERING,PUNE,2018,737580
CIMPRESS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,1385379
INDUS VALLEY PARTNERS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2014,29904
MASTEK,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,38791
VERIZON,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2017,556351
HDFC,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017,533364
BANK OF AMERICA,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2015,884605
TATA COMMUNICATIONS,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2014,367228
INDUS VALLEY PARTNERS,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016,809554
ADOBE,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,1171126
NETWORK 18,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,55083
ATOS,MIT COLLEGE OF ENGINEERING,PUNE,2014,695888
CAPGEMINI,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018,388629
GEOMETRIC SOFTWARE SOLUTIONS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,348446
MU SIGMA,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2016,336384
SIEMENS,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2014,485501
HURIX,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,892379
AMAZON,COLLEGE OF ENGINEERING PUNE,PUNE,2018,429993
SYMANTEC,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,1811870
AXIS BANK,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,586508
GEP,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,732705
INFORMATICA,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,1756989
GEOMETRIC,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2014,433843
ADOBE,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2017,109643
LARSEN & TOUBRO,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,1801767
IDBI INTECH,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,380476
GODREJ INFOTECH,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,387993
ZENSAR TECHNOLOGIES,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2014,1135517
SAP,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2015,58446
SIEMENS,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,495876
CMS IT SERVICES,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,439440
OSP LABS,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2016,848944
GENPACT,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,629597
JIO,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2016,722630
CYBAGE SOFTWARE,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2016,582839
UBS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,382916
LARSEN & TOUBRO,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,1816893
INFOGAIN,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,427504
INDUS VALLEY PARTNERS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2017,29586
OSP LABS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2014,886495
TECH MAHINDRA,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,491749
WIPRO,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2014,472736
ACCOLITE,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,1172967
HEXAWARE TECHNOLOGIES,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2017,760536
LIONBRIDGE,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2016,42826
NUCSOFT,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,30248
ZYCUS,MIT COLLEGE OF ENGINEERING,PUNE,2017,17764
CMS IT SERVICES,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,439440
HURIX,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2017,872886
AMAZON,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2016,432723
SCHNEIDER ELECTRIC,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,109643
LARSEN & TOUBRO,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2017,1717006
CYBAGE SOFTWARE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2014,582223
CREDIT SUISSE,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,957887
NSEIT,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2016,50936
ACCOLITE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,132900
ADOBE,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,1176245
JOHNSON CONTROLS,MIT COLLEGE OF ENGINEERING,PUNE,2018,792371
MICROSOFT,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2014,1148184
TATA CONSULTANCY SERVICES,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016,363632
WNS,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2015,409027
INGRAM MICRO,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,368514
BOOKMYSHOW,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2017,360192
MIRRAW,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,448457
GEP,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2015,721508
AXIS BANK,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2015,11849
NEWGEN SOFTWARE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,433825
HEXAWARE TECHNOLOGIES,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,30641
IDBI INTECH,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2014,380730
GEOMETRIC,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,443055
CREDIT SUISSE,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2015,299881
CMC,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2017,182660
INFOGAIN,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2014,227517
WIPRO,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2015,482921
ATIDAN,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,803504
NVIDIA,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2014,22687
ORACLE,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,753646
TCS,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,41812
CMS IT SERVICES,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,439738
AMDOCS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,771234
INFOGAIN,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,415614
MICROSOFT,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2015,429272
GE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,708060
WEATHERFORD,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2014,509628
NVIDIA,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2016,251114
INGRAM MICRO,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2016,363745
MIRRAW,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2016,30702
ATIDAN,MIT COLLEGE OF ENGINEERING,PUNE,2017,918990
MORGAN STANLEY,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2016,509610
IDBI INTECH,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,393589
XORIANT,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,450887
INFOSYS,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016,481194
ENDURANCE INTERNATIONAL GROUP,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,771234
MILES SOFTWARE,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,652677
YAHOO,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,376823
XL DYNAMICS,MIT COLLEGE OF ENGINEERING,PUNE,2018,683094
SYNTROSYS,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2014,12912
MEDIA.NET,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2014,1404682
BHARAT PETROLEUM,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2014,381460
INFOGAIN,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,220946
THIRDWARE SOLUTION,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2015,507721
MPHASIS,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2016,697032
UGAM,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2014,789222
CALSOFT,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,16276
MAJESCO,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2018,497584
ATIDAN,MIT COLLEGE OF ENGINEERING,PUNE,2018,935975
CIMPRESS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,861754
ACCENTURE,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2014,303980
TCS,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2017,40901
ATIDAN,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,821124
CYBAGE SOFTWARE,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,348289
BNP PARIBAS,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2015,53484
CAPITA,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2016,583281
ECLERX,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,403884
RAJA SOFTWARE LABS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2016,435753
INFIBEAM,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2014,183351
NSEIT,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2016,49818
XL DYNAMICS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,682828
INDUS VALLEY PARTNERS,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,768467
ARK TECHNOSOLUTIONS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2014,1157633
NSEIT,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2014,49966
ZENSAR TECHNOLOGIES,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2016,476707
OSP LABS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2014,837973
DIRECTI,COLLEGE OF ENGINEERING PUNE,PUNE,2016,25840
MINDTREE,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2014,18017
GE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2016,533965
ACCOLITE,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,1147627
SCHNEIDER ELECTRIC,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,108127
NSEIT,COLLEGE OF ENGINEERING PUNE,PUNE,2017,49160
INFORMATICA,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2017,378169
NVIDIA,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2014,244494
AMAZON,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,20586
MAQ SOFTWARE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,1630826
MORGAN STANLEY,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2014,1731692
ORACLE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,761851
ECLINICALWORKS,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,613700
SCHNEIDER ELECTRIC,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,436730
MIRRAW,COLLEGE OF ENGINEERING PUNE,PUNE,2018,432896
XL DYNAMICS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,380352
TATA COMMUNICATIONS,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,664502
GE,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,526728
ADOBE,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,109265
CREDIT SUISSE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,966420
GE,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,524136
DIRECTI,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,1680144
DIRECTI,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2014,1669799
CIMPRESS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2017,1361177
RAVE TECHNOLOGIES,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2014,648290
ZYCUS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017,16955
ACCENTURE,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2017,294679
BOOKMYSHOW,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2014,365123
DIRECTI,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,1696037
IBM,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2014,441225
ACCENTURE,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2015,300390
ECLERX,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,44679
MORGAN STANLEY,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2017,505716
MORGAN STANLEY,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,513552
TECH MAHINDRA,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,29866
ATIDAN,MIT COLLEGE OF ENGINEERING,PUNE,2016,960307
MPHASIS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,493062
MEDIA.NET,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,1385379
ECLERX,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2016,391878
VISA INC.,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,1172253
CAPGEMINI,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2015,784385
CAPITA,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2017,572562
ZYCUS,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2016,43001
GEOMETRIC SOFTWARE SOLUTIONS,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2014,342375
CIMPRESS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,836966
AMAZON,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,438251
BNP PARIBAS,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,38565
INGRAM MICRO,MIT COLLEGE OF ENGINEERING,PUNE,2018,366607
NVIDIA,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,242641
IGATE,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2018,30750
GEOMETRIC,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2016,452859
WIPRO,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2016,486872
GOOGLE,MIT COLLEGE OF ENGINEERING,PUNE,2018,53484
SYNTROSYS,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2016,12846
GOOGLE,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2015,54738
VERIZON,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,554151
QUALITYKIOSK,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,27385
TATA CONSULTANCY SERVICES,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,363638
CMC,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2015,432559
TECH MAHINDRA,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,477970
IBM,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,433699
QAD,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,753676
XORIANT,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,667461
KPIT TECHNOLOGIES,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,797402
TCS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,363988
BOOKMYSHOW,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,363632
AXIS BANK,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2015,598125
LIONBRIDGE,MIT COLLEGE OF ENGINEERING,PUNE,2016,43170
TATA,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2015,94779
AMAZON,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,20423
GE,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,728904
IBM,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,441489
NSEIT,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2015,58857
ENDURANCE INTERNATIONAL GROUP,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2017,764837
DELOITTE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,322127
VISA INC.,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,1176245
IDBI INTECH,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,547689
